,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
0,203364.0,2017-12-15T14:53:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-7,-80.016716,40.4541445,EXACT
1,200800.0,2017-11-29T09:54:00,Graffiti,Control Panel,1,Police - Zones 1-6,South Side Flats,3.0,16.0,42003160900.0,3.0,16.0,3.0,4-24,-79.9699516755045,40.4292428413532,APPROXIMATE
2,201310.0,2017-12-01T13:23:00,Litter,Call Center,1,DPW - Street Maintenance,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.98585859999999,40.4597155,EXACT
3,200171.0,2017-11-22T14:54:00,Water Main Break,Call Center,0,Pittsburgh Water and Sewer Authority,Banksville,2.0,20.0,42003202300.0,5.0,20.0,6.0,4-9,-80.03420990000001,40.4069693,EXACT
4,193043.0,2017-10-12T12:46:00,Guide Rail,Call Center,1,DPW - Construction Division,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-19,-79.8765820011886,40.4512264315235,EXACT
5,196521.0,2017-10-31T15:17:00,Guide Rail,Call Center,1,DPW - Construction Division,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-19,-79.8768234,40.4511652,EXACT
6,193206.0,2017-10-13T09:18:00,Sidewalk/Curb/HC Ramp Maintenance,Call Center,1,DOMI - Permits,Mount Washington,4.0,19.0,42003191500.0,5.0,19.0,3.0,4-27,-80.01249866634829,40.41722989901729,APPROXIMATE
7,195917.0,2017-10-27T10:23:00,Manhole Cover ,Call Center,1,DOMI - Permits,Bluff,6.0,1.0,42003010300.0,3.0,1.0,2.0,2-4,-79.98558587196659,40.4352631774289,EXACT
9,190422.0,2017-09-29T11:46:00,Mayor's Office,Website,1,311,North Oakland,8.0,4.0,42003040400.0,3.0,4.0,4.0,2-9,-79.94974002603021,40.448116568075704,APPROXIMATE
10,189977.0,2017-09-27T17:02:00,Manhole Cover ,Call Center,1,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-80.0002635,40.4432402,EXACT
11,183969.0,2017-08-31T12:07:00,Blocked or Closed Sidewalks,Control Panel,1,DOMI - Permits,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.9940403330765,40.463152782833,APPROXIMATE
12,182748.0,2017-08-28T12:49:00,Abandoned Vehicle (parked on street),Control Panel,0,Police - AVU,Brighton Heights,1.0,27.0,42003270800.0,1.0,27.0,1.0,1-14,-80.0299435001482,40.4865955080747,APPROXIMATE
13,184662.0,2017-09-05T13:49:00,Abandoned Vehicle (parked on street),Call Center,0,Police - AVU,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0276344874315,40.4703339352606,APPROXIMATE
14,187861.0,2017-09-19T10:06:00,Manhole Cover ,Call Center,1,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.9963698306885,40.4427103650934,EXACT
16,184586.0,2017-09-05T11:50:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Lower Lawrenceville,7.0,6.0,42003090100.0,2.0,6.0,2.0,3-3,-79.9669065,40.471717299999995,EXACT
17,183065.0,2017-08-29T10:53:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Windgap,2.0,20.0,42003563000.0,5.0,20.0,6.0,1-16,-80.0732129,40.4576333,EXACT
18,119575.0,2016-12-07T12:02:00,Leak,Call Center,0,Pittsburgh Water and Sewer Authority,Brookline,4.0,19.0,42003191900.0,5.0,19.0,6.0,4-26,-80.0303243026245,40.3968010877991,EXACT
19,120187.0,2016-12-12T07:32:00,Leak,Call Center,0,Pittsburgh Water and Sewer Authority,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.0191464,40.4102264,EXACT
20,176319.0,2017-08-03T14:37:00,Sidewalk/Curb/HC Ramp Maintenance,Control Panel,1,DOMI - Permits,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0134105641674,40.4917016842875,APPROXIMATE
21,181351.0,2017-08-22T15:31:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Carrick,4.0,29.0,42003290400.0,3.0,29.0,3.0,4-23,-79.9817138,40.3817406,EXACT
22,167825.0,2017-07-06T15:26:00,Illegal Dumping,Control Panel,0,DOMI - Permits,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-20,-79.9977634939938,40.4526950987694,APPROXIMATE
23,177675.0,2017-08-08T14:58:00,Sidewalk Obstruction,Call Center,1,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.9947082,40.44141389999999,EXACT
24,175708.0,2017-08-02T10:04:00,Other,Website,1,311,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.98168074825391,40.4020312192904,APPROXIMATE
25,177411.0,2017-08-08T08:18:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,North Oakland,8.0,5.0,42003562000.0,3.0,5.0,4.0,2-23,-79.9520215,40.45189,EXACT
26,169804.0,2017-07-13T15:00:00,Blocked or Closed Sidewalks,Control Panel,1,DOMI - Permits,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.01288181623529,40.485848657957604,APPROXIMATE
27,170189.0,2017-07-14T15:37:00,Mayor's Office,Call Center,0,311,Bloomfield,7.0,8.0,42003080400.0,2.0,8.0,5.0,2-23,-79.94811938094159,40.4550660432579,APPROXIMATE
28,159385.0,2017-06-05T15:32:00,Blocked or Closed Sidewalks,Control Panel,1,DOMI - Permits,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.04632909475441,40.4823979910735,APPROXIMATE
29,157921.0,2017-05-31T11:36:00,Bridge Maintenance,Control Panel,1,DOMI - Structures,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-1,-79.9796681,40.4642071,EXACT
30,154850.0,2017-05-18T16:10:00,Utility Cut - Other,Call Center,1,DOMI - Permits,Sheraden,2.0,20.0,42003562500.0,5.0,20.0,6.0,1-16,-80.05642940000001,40.4589266,EXACT
31,153435.0,2017-05-15T09:54:00,Sidewalk Obstruction,Control Panel,0,DOMI - Permits,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0314872,40.4760107,EXACT
32,140686.0,2017-03-23T09:18:00,Illegal Dumping,Call Center,1,DOMI - Permits,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.0107353220054,40.4045059521684,APPROXIMATE
33,147753.0,2017-04-24T14:42:00,Abandoned Vehicle (parked on street),Control Panel,0,Police - AVU,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-21,-80.01263228229541,40.455277320994504,APPROXIMATE
34,133416.0,2017-02-22T12:12:00,Abandoned Vehicle (parked on street),Control Panel,0,Police - AVU,Spring Hill-City View,1.0,26.0,42003262000.0,1.0,26.0,1.0,1-11,-79.9984224793384,40.4704836945238,APPROXIMATE
35,136289.0,2017-03-03T10:34:00,Abandoned Vehicle (parked on street),Control Panel,0,Police - AVU,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9842330161776,40.4625904367315,APPROXIMATE
36,138513.0,2017-03-09T13:12:00,Abandoned Vehicle (parked on street),Control Panel,0,Police - AVU,Manchester,6.0,21.0,42003210700.0,1.0,21.0,1.0,1-8,-80.02381619091258,40.453369082520496,APPROXIMATE
37,135853.0,2017-03-01T11:22:00,Abandoned Vehicle (parked on street),Call Center,0,Police - AVU,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.0462409029125,40.4822794099695,APPROXIMATE
38,136098.0,2017-03-02T11:47:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Brighton Heights,1.0,27.0,42003270800.0,1.0,27.0,1.0,1-14,-80.0303756735412,40.4908873313379,EXACT
39,125925.0,2017-01-17T17:20:00,Abandoned Vehicle (parked on street),Call Center,0,Police - AVU,Larimer,9.0,12.0,42003120800.0,2.0,12.0,5.0,3-12,-79.9126706554409,40.461673315713,APPROXIMATE
40,126321.0,2017-01-19T12:26:00,"Permits, Licenses and Inspections",Control Panel,0,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0396597032788,40.477014828931,APPROXIMATE
41,130862.0,2017-02-08T14:48:00,Abandoned Vehicle (parked on street),Control Panel,0,Police - AVU,Brighton Heights,1.0,27.0,42003270800.0,1.0,27.0,1.0,1-14,-80.0294108143494,40.4804066134463,APPROXIMATE
42,131047.0,2017-02-09T12:44:00,Abandoned Vehicle (parked on street),Website,0,Police - AVU,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0339405204668,40.4714837544353,APPROXIMATE
43,132022.0,2017-02-15T08:41:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0319442,40.4763843,EXACT
44,110241.0,2016-10-12T08:21:00,Traffic Enforcement,Call Center,1,Police - Zones 1-6,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.97949343611,40.4689437749185,APPROXIMATE
45,96020.0,2016-08-12T10:25:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Larimer,9.0,12.0,42003120800.0,2.0,12.0,5.0,3-10,-79.9158800628752,40.4643689654718,APPROXIMATE
46,90897.0,2016-07-25T14:20:00,Park Shelter,Call Center,1,DOMI - Permits,Sheraden,2.0,20.0,42003562500.0,5.0,20.0,6.0,1-16,-80.05653520000001,40.455200700000006,EXACT
47,74460.0,2016-06-01T09:17:00,Traffic Shop ,Control Panel,1,DOMI - TrafficShop,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9796053865215,40.468697290643604,APPROXIMATE
49,195883.0,2017-10-27T09:17:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Upper Hill,6.0,5.0,42003050600.0,3.0,5.0,2.0,2-22,-79.96165531491891,40.452653290091604,APPROXIMATE
50,201613.0,2017-12-04T16:42:00,Leak,Call Center,3,Pittsburgh Water and Sewer Authority,Beechview,4.0,19.0,42003192000.0,5.0,19.0,6.0,4-28,-80.019467,40.4054512,EXACT
51,201622.0,2017-12-04T17:24:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Beechview,4.0,19.0,42003192000.0,5.0,19.0,6.0,4-28,-80.019467,40.4054512,EXACT
52,203164.0,2017-12-14T14:41:00,Handicap Parking Signs,Control Panel,1,DOMI - Traffic,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.98413536522429,40.462209805683706,APPROXIMATE
53,203229.0,2017-12-15T08:12:00,Water Main Break,Call Center,3,Pittsburgh Water and Sewer Authority,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.0178746,40.3907533,EXACT
54,202244.0,2017-12-08T10:52:00,Request New Sign,Control Panel,3,DOMI - Traffic,Troy Hill,1.0,23.0,42003240600.0,1.0,23.0,1.0,1-5,-79.99424300000001,40.455402,EXACT
55,202320.0,2017-12-08T14:52:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Point Breeze,8.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.9096744,40.4481741,EXACT
56,201447.0,2017-12-04T09:24:00,Unpermitted Fire System Work,Control Panel,1,"Permits, Licenses and Inspections",Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-4,-79.9958586651137,40.439527694012796,APPROXIMATE
57,198735.0,2017-11-14T08:20:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Lincoln-Lemington-Belmar,9.0,12.0,42003561900.0,2.0,12.0,5.0,3-18,-79.89251444342129,40.467055827459,APPROXIMATE
58,191809.0,2017-10-06T08:33:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,Brookline,4.0,32.0,42003320600.0,5.0,32.0,6.0,4-25,-80.0016148,40.398843,EXACT
59,172742.0,2017-07-24T11:56:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Lincoln-Lemington-Belmar,9.0,12.0,42003120300.0,2.0,12.0,5.0,3-15,-79.9003126095139,40.4668664111852,APPROXIMATE
60,186937.0,2017-09-14T14:53:00,Request New Sign,Call Center,1,DOMI - Traffic,Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-7,-79.99285079999999,40.4115218,EXACT
61,102298.0,2016-09-06T15:03:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-21,-80.0126984374377,40.455533380458604,APPROXIMATE
62,177956.0,2017-08-09T13:33:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.9276772962952,40.481420438151105,EXACT
63,193580.0,2017-10-16T11:30:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.02725206560659,40.470383192499206,APPROXIMATE
64,170741.0,2017-07-17T15:13:00,Building Maintenance,Call Center,3,"Permits, Licenses and Inspections",Sheraden,2.0,20.0,42003562500.0,5.0,20.0,6.0,1-16,-80.0477462088388,40.456165077875205,APPROXIMATE
65,130702.0,2017-02-08T09:15:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.034146581547,40.4715316355514,APPROXIMATE
66,195852.0,2017-10-27T08:10:00,Drainage/Leak,Call Center,1,DPW - Street Maintenance,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0025787,40.459867200000005,EXACT
67,200042.0,2017-11-21T15:25:00,Water Main Break,Call Center,3,Pittsburgh Water and Sewer Authority,Beechview,4.0,19.0,42003192000.0,5.0,19.0,6.0,4-28,-80.03189771031191,40.4010287386017,EXACT
68,174941.0,2017-07-31T13:19:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Upper Hill,6.0,5.0,42003050600.0,3.0,5.0,2.0,2-22,-79.9618435426963,40.4526883796025,APPROXIMATE
69,159291.0,2017-06-05T13:06:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Central Lawrenceville,7.0,9.0,42003090200.0,2.0,9.0,2.0,3-3,-79.955533,40.4707,EXACT
70,199165.0,2017-11-15T15:37:00,Water/Drinking Fountains,Twitter,1,DPW - Facilities,Squirrel Hill South,5.0,14.0,42003141300.0,3.0,14.0,4.0,2-21,-79.9275475,40.432610600000004,EXACT
71,20185.0,2015-08-19T13:01:00,Traffic Shop ,Call Center,1,DOMI - TrafficShop,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-5,-79.98986181644209,40.4258663827165,APPROXIMATE
72,191446.0,2017-10-04T14:19:00,Traffic,Call Center,3,Police - Zones 1-6,Brookline,4.0,32.0,42003320600.0,5.0,32.0,6.0,4-25,-79.9999549,40.3957994,EXACT
73,154678.0,2017-05-18T10:57:00,Guide Rail,Call Center,3,DPW - Construction Division,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-19,-79.8763006,40.4511518,EXACT
74,179844.0,2017-08-16T11:47:00,Handicap Parking Signs,Call Center,1,DOMI - Traffic,Mount Washington,3.0,18.0,42003180700.0,5.0,18.0,3.0,4-5,-80.0004739482994,40.4245329136026,APPROXIMATE
75,50516.0,2016-02-25T13:23:00,Landslide,Call Center,1,DOMI - Construction,Spring Hill-City View,1.0,26.0,42003262000.0,1.0,26.0,1.0,1-11,-80.0012420534424,40.4711783807699,EXACT
76,100327.0,2016-08-29T10:05:00,Landslide,Call Center,1,DOMI - Construction,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-3,-79.9788609,40.4224966,EXACT
77,196363.0,2017-10-31T07:59:00,Abandoned Vehicle (parked on street),Call Center,1,Police - AVU,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.01103189914001,40.4042811729611,APPROXIMATE
78,197504.0,2017-11-06T14:02:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-80.00276059999999,40.3852026,EXACT
79,197508.0,2017-11-06T14:10:00,"Traffic or Pedestrian Signal, Request ",Call Center,1,DOMI - Traffic,South Oakland,3.0,4.0,42003980800.0,3.0,4.0,4.0,2-2,-79.9592397,40.4311765,EXACT
80,150416.0,2017-05-03T12:12:00,Landslide,Call Center,1,DOMI - Construction,Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-5,-79.969577,40.446112899999996,EXACT
81,187041.0,2017-09-15T08:21:00,Litter,Website,3,DPW - Street Maintenance,North Shore,1.0,23.0,42003563200.0,6.0,23.0,1.0,1-20,-80.000923,40.449502,EXACT
82,182247.0,2017-08-25T10:54:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Brighton Heights,1.0,27.0,42003270800.0,1.0,27.0,1.0,1-14,-80.034728,40.483320899999995,EXACT
83,188581.0,2017-09-21T13:29:00,Curb Paint,Call Center,1,DOMI - Traffic,Mount Washington,2.0,19.0,42003190300.0,5.0,19.0,3.0,4-27,-80.01125479999999,40.433168200000004,EXACT
84,101113.0,2016-08-31T08:51:00,Weeds/Debris,Call Center,3,"Permits, Licenses and Inspections",Manchester,6.0,21.0,42003210700.0,1.0,21.0,1.0,1-8,-80.02931,40.4584751,EXACT
85,182148.0,2017-08-25T08:25:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,Garfield,9.0,10.0,42003101700.0,2.0,10.0,5.0,3-4,-79.9432061994596,40.467364455342796,APPROXIMATE
86,119460.0,2016-12-06T16:01:00,Abandoned Vehicle (parked on street),Control Panel,3,Police - AVU,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.0387252328011,40.4839902931328,APPROXIMATE
87,170860.0,2017-07-18T08:32:00,Drug Enforcement,Call Center,3,Police - Zones 1-6,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0274656118539,40.4706449227821,APPROXIMATE
88,170979.0,2017-07-18T11:18:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.0464361413747,40.482345123052795,APPROXIMATE
89,127058.0,2017-01-24T08:27:00,"Catch Basin, Clogged",Call Center,1,Pittsburgh Water and Sewer Authority,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.03813199999999,40.4809965,EXACT
90,39963.0,2016-01-07T13:55:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.0296149914017,40.4135860843854,EXACT
91,167463.0,2017-07-05T16:29:00,"City Steps, Need Repaired",Call Center,3,DOMI - Streets,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.022216,40.490247,EXACT
92,188731.0,2017-09-22T09:17:00,Utility Cut - Other,Call Center,1,DOMI - Permits,Point Breeze,8.0,14.0,42003140600.0,3.0,14.0,4.0,3-14,-79.9057659,40.450675,EXACT
93,119357.0,2016-12-06T11:20:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,California-Kirkbride,6.0,21.0,42003250700.0,1.0,21.0,1.0,1-9,-80.0244233656311,40.4619090642059,APPROXIMATE
94,74067.0,2016-05-31T12:47:00,Weeds/Debris,Call Center,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0282198,40.476741600000004,EXACT
95,181845.0,2017-08-24T09:53:00,Tree Removal,Call Center,1,DPW - Forestry Division,Squirrel Hill South,5.0,14.0,42003140800.0,3.0,14.0,4.0,2-21,-79.9136032,40.4338727,EXACT
96,185210.0,2017-09-07T11:14:00,Utility Cut - PWSA,Call Center,1,Pittsburgh Water and Sewer Authority,Squirrel Hill South,5.0,14.0,42003140800.0,3.0,14.0,4.0,2-21,-79.92047306613159,40.431270665925204,EXACT
97,179607.0,2017-08-15T14:58:00,Vacant Building,Call Center,3,"Permits, Licenses and Inspections",Mount Washington,2.0,19.0,42003191400.0,5.0,19.0,3.0,4-27,-80.0096118012581,40.429707162145,EXACT
98,161970.0,2017-06-14T13:58:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0050109,40.463905100000005,EXACT
99,185274.0,2017-09-07T13:56:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,Crawford-Roberts,6.0,3.0,42003030500.0,3.0,3.0,2.0,2-1,-79.98424399999999,40.443577000000005,EXACT
100,66019.0,2016-05-02T15:19:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0339147919561,40.471921465341296,APPROXIMATE
101,159738.0,2017-06-06T13:05:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-5,-79.96773,40.45078,EXACT
102,28167.0,2015-10-19T12:09:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Crawford-Roberts,6.0,3.0,42003030500.0,3.0,3.0,2.0,2-1,-79.98627259999999,40.4447243,EXACT
103,80563.0,2016-06-20T08:20:00,Vacant Building,Control Panel,3,"Permits, Licenses and Inspections",Fineview,6.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.00771800000001,40.463384999999995,EXACT
104,184292.0,2017-09-01T13:59:00,Vacant Building,Control Panel,3,"Permits, Licenses and Inspections",Perry South,1.0,26.0,42003261500.0,1.0,26.0,1.0,1-23,-80.0130998,40.474239399999995,EXACT
105,182124.0,2017-08-24T22:15:00,Tree Removal,Website,1,DPW - Forestry Division,Point Breeze North,9.0,14.0,42003140500.0,2.0,14.0,4.0,3-14,-79.90244679999999,40.450413,EXACT
106,175174.0,2017-08-01T08:13:00,Retaining Wall (Public Property),Call Center,1,DOMI - Structures,Elliott,2.0,20.0,42003562600.0,5.0,20.0,6.0,1-17,-80.04345699999999,40.442797,EXACT
107,167584.0,2017-07-06T09:46:00,Abandoned Vehicle (parked on street),Control Panel,3,Police - AVU,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0040498221614,40.461674227966796,APPROXIMATE
108,95973.0,2016-08-12T08:35:00,"City Steps, Need Repaired",Call Center,1,DPW - Construction Division,Overbrook,4.0,32.0,42003320600.0,5.0,32.0,3.0,4-25,-79.99731059999999,40.393004600000005,EXACT
109,157872.0,2017-05-31T10:39:00,Building Maintenance,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003270400.0,1.0,27.0,1.0,1-9,-80.028633707222,40.4654205016034,APPROXIMATE
110,124573.0,2017-01-09T14:04:00,Leak,Call Center,3,Pittsburgh Water and Sewer Authority,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.98380590000001,40.393120700000004,EXACT
111,101486.0,2016-09-01T10:45:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Homewood West,9.0,12.0,42003120700.0,2.0,12.0,5.0,3-17,-79.90513909666579,40.4570434642578,APPROXIMATE
112,158159.0,2017-05-31T18:55:00,Weeds/Debris,Website,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.03214,40.46962,EXACT
113,158161.0,2017-05-31T18:57:00,Weeds/Debris,Website,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.03187,40.46935,EXACT
114,171254.0,2017-07-19T03:38:00,Weeds/Debris,Website,3,"Permits, Licenses and Inspections",Spring Garden,1.0,26.0,42003241200.0,1.0,26.0,1.0,1-11,-79.9857583,40.4672963,EXACT
115,68796.0,2016-05-12T15:46:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-19,-79.87156291383481,40.4529800680881,APPROXIMATE
116,119363.0,2016-12-06T11:31:00,Vacant Building,Control Panel,3,"Permits, Licenses and Inspections",Allentown,3.0,18.0,42003180300.0,5.0,18.0,3.0,4-6,-79.99135,40.41982,EXACT
117,178544.0,2017-08-11T10:56:00,Drug Enforcement,Website,3,Police - Zones 1-6,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-6,-80.00480340552771,40.4565979635475,APPROXIMATE
119,162466.0,2017-06-16T07:48:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Central Lawrenceville,7.0,9.0,42003090100.0,2.0,9.0,2.0,3-3,-79.95856354232791,40.4739533856729,EXACT
120,139993.0,2017-03-20T11:29:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Spring Garden,1.0,26.0,42003241200.0,1.0,26.0,1.0,1-11,-79.989350681625,40.4741545347172,APPROXIMATE
121,135912.0,2017-03-01T14:47:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-17,-79.8816152574825,40.452380011052796,APPROXIMATE
122,14531.0,2015-07-21T12:16:00,Pruning (city tree),Call Center,3,DPW - Forestry Division,Manchester,6.0,21.0,42003210700.0,1.0,21.0,1.0,1-8,-80.0263695,40.4577368,EXACT
123,176734.0,2017-08-04T15:21:00,Tree Removal,Call Center,1,DPW - Forestry Division,Elliott,2.0,20.0,42003562600.0,5.0,20.0,6.0,1-17,-80.039488,40.446306,EXACT
124,47682.0,2016-02-17T08:46:00,Abandoned Vehicle (parked on street),Call Center,3,Police - AVU,Central Lawrenceville,7.0,9.0,42003090100.0,2.0,9.0,2.0,3-3,-79.9637495216071,40.4725438589689,APPROXIMATE
125,173203.0,2017-07-25T13:06:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Windgap,2.0,28.0,42003563000.0,5.0,28.0,6.0,1-16,-80.0735804,40.4524055,EXACT
126,65459.0,2016-04-29T10:51:00,Weeds/Debris,Call Center,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.028847,40.471885,EXACT
127,68687.0,2016-05-12T12:03:00,Weeds/Debris,Control Panel,3,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.02917099999999,40.472312,EXACT
128,174025.0,2017-07-27T14:15:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Point Breeze,8.0,14.0,42003140400.0,3.0,14.0,4.0,2-17,-79.91560009999999,40.449268599999996,EXACT
130,75767.0,2016-06-02T10:57:00,Weeds/Debris,Call Center,3,"Permits, Licenses and Inspections",Summer Hill,1.0,26.0,42003261200.0,1.0,26.0,1.0,1-15,-80.0162558,40.497649700000004,EXACT
131,172546.0,2017-07-24T08:38:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Hazelwood,5.0,15.0,42003562900.0,3.0,15.0,4.0,2-13,-79.94731949999999,40.4048908,EXACT
