,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
904,132362.0,2017-02-16T15:53:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0197809,40.4923778,EXACT
905,12506.0,2015-07-09T09:05:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Banksville,2.0,20.0,42003202300.0,5.0,20.0,6.0,4-9,-80.046403,40.407039000000005,EXACT
906,139802.0,2017-03-17T18:19:00,Dumpster (on Street),Call Center,1,DOMI - Permits,Bloomfield,7.0,9.0,42003090300.0,2.0,9.0,5.0,3-6,-79.954897,40.464981,EXACT
907,138633.0,2017-03-09T17:17:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.98409240000001,40.4620287,EXACT
908,138654.0,2017-03-09T18:08:00,Replace/Repair a Sign,Text Message,1,DOMI - TrafficShop,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.98409240000001,40.4620287,EXACT
909,140353.0,2017-03-21T14:53:00,Wires,Call Center,1,DOMI - Permits,Lincoln Place,5.0,31.0,42003310200.0,3.0,31.0,4.0,4-20,-79.91613520000001,40.368585700000004,EXACT
910,136808.0,2017-03-06T17:11:00,Potholes,Website,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-6,-79.9746422,40.4529198,EXACT
911,87465.0,2016-07-13T08:00:00,Potholes,Call Center,1,DPW - Street Maintenance,Central Business District,6.0,1.0,42003020100.0,6.0,1.0,2.0,1-4,-79.9984583,40.4387369,EXACT
912,138024.0,2017-03-08T12:47:00,Potholes,Call Center,1,DPW - Street Maintenance,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,3-2,-79.9717931,40.457548100000004,EXACT
913,140178.0,2017-03-20T18:35:00,Hydrant - Fire Admin,Call Center,1,Fire Bureau,East Liberty,9.0,11.0,42003111500.0,2.0,11.0,5.0,3-10,-79.9187388349877,40.4610320350595,APPROXIMATE
914,137791.0,2017-03-08T10:02:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.99425007547849,40.4633237071574,APPROXIMATE
915,139807.0,2017-03-17T18:36:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Bloomfield,7.0,8.0,42003080400.0,2.0,8.0,5.0,2-23,-79.948824,40.454496999999996,EXACT
916,139652.0,2017-03-17T08:10:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.98170322766249,40.4023178113639,APPROXIMATE
917,139744.0,2017-03-17T13:24:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,2-6,-79.963093,40.458613,EXACT
918,139796.0,2017-03-17T16:33:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-6,-79.9645004,40.4622735,EXACT
919,139719.0,2017-03-17T11:44:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Regent Square,5.0,14.0,42003141000.0,3.0,14.0,4.0,2-16,-79.8970691,40.438304200000005,EXACT
920,139739.0,2017-03-17T13:10:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Swisshelm Park,5.0,14.0,42003141100.0,3.0,14.0,4.0,2-19,-79.9029594,40.4196853,EXACT
921,136024.0,2017-03-02T08:34:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,Central Oakland,3.0,4.0,42003040600.0,3.0,4.0,4.0,2-11,-79.951538,40.439207200000006,EXACT
922,131212.0,2017-02-10T10:52:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.93931440000001,40.4073924,EXACT
923,131501.0,2017-02-13T08:06:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Stanton Heights,9.0,10.0,42003100500.0,2.0,10.0,5.0,3-7,-79.9400605,40.478974,EXACT
925,118269.0,2016-11-29T13:20:00,Utility Cut - PWSA,Website,1,Pittsburgh Water and Sewer Authority,Squirrel Hill North,8.0,14.0,42003140100.0,3.0,14.0,4.0,2-26,-79.941992,40.4438782,EXACT
926,138930.0,2017-03-13T10:12:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,Homewood West,9.0,12.0,42003120300.0,2.0,12.0,5.0,3-15,-79.9045052,40.463186900000004,EXACT
927,138814.0,2017-03-10T15:46:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-19,-79.87094809999999,40.451233,EXACT
928,138637.0,2017-03-09T17:23:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.98409240000001,40.4620287,EXACT
929,138261.0,2017-03-08T18:34:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Highland Park,7.0,11.0,42003110200.0,2.0,11.0,5.0,3-9,-79.9224177,40.4733619,EXACT
930,137459.0,2017-03-07T16:41:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Shadyside,8.0,7.0,42003070800.0,2.0,7.0,4.0,3-11,-79.9207715,40.459743599999996,EXACT
931,136750.0,2017-03-06T15:12:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Bloomfield,7.0,9.0,42003080900.0,2.0,9.0,5.0,3-6,-79.94893540000001,40.4635123,EXACT
932,135925.0,2017-03-01T15:24:00,Wires,Control Panel,1,DOMI - Permits,Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.042343,40.482292,EXACT
933,138640.0,2017-03-09T17:28:00,Wires,Call Center,1,DOMI - Permits,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.0097719,40.398966200000004,EXACT
934,138221.0,2017-03-08T17:06:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Upper Hill,6.0,5.0,42003050600.0,3.0,5.0,2.0,2-23,-79.95500600000001,40.453956,EXACT
935,132147.0,2017-02-15T14:22:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Perry South,6.0,26.0,42003261500.0,1.0,26.0,1.0,1-23,-80.0096767201219,40.4733352710431,APPROXIMATE
936,138081.0,2017-03-08T14:03:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Crafton Heights,2.0,20.0,42003281400.0,5.0,20.0,6.0,1-16,-80.06282259999999,40.4485619,EXACT
937,104060.0,2016-09-13T17:32:00,Drug Enforcement,Call Center,1,Police - Zones 1-6,Bluff,6.0,1.0,42003010300.0,3.0,1.0,2.0,2-4,-79.98434293898521,40.4371638367414,APPROXIMATE
938,129068.0,2017-02-01T13:27:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Beltzhoover,3.0,18.0,42003562400.0,5.0,18.0,3.0,4-16,-80.0050594007695,40.4186101198135,APPROXIMATE
939,127967.0,2017-01-26T18:49:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-3,-79.9868859,40.4482248,EXACT
940,136019.0,2017-03-02T08:26:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-1,-79.9777211078426,40.4460197706361,APPROXIMATE
941,136215.0,2017-03-02T18:36:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0230681,40.4883417,EXACT
942,127989.0,2017-01-27T07:48:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-12,-79.935428,40.4241853,EXACT
943,131059.0,2017-02-09T13:23:00,Pruning (city tree),Call Center,1,DPW - Forestry Division,Stanton Heights,7.0,10.0,42003101100.0,2.0,10.0,5.0,3-5,-79.9439866761963,40.4829937712157,EXACT
944,134122.0,2017-02-25T15:05:00,Building Without a Permit,Website,1,"Permits, Licenses and Inspections",East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-20,-79.998052133806,40.452723749313996,APPROXIMATE
945,135893.0,2017-03-01T13:29:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Allegheny West,1.0,22.0,42003562700.0,1.0,22.0,1.0,1-7,-80.0154844,40.4538239,EXACT
946,135993.0,2017-03-02T07:03:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Squirrel Hill North,5.0,14.0,42003140300.0,3.0,14.0,4.0,2-18,-79.9195784,40.4399818,EXACT
947,132188.0,2017-02-15T16:39:00,Tree Removal,Call Center,1,DPW - Forestry Division,New Homestead,5.0,31.0,42003310300.0,3.0,31.0,4.0,4-20,-79.914567,40.396209999999996,EXACT
948,128229.0,2017-01-30T09:18:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Squirrel Hill South,5.0,14.0,42003980500.0,3.0,14.0,4.0,2-8,-79.9420634003152,40.4342282682768,APPROXIMATE
949,112722.0,2016-10-25T10:53:00,Building Maintenance,Control Panel,1,"Permits, Licenses and Inspections",Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.03415203651241,40.4718837686063,APPROXIMATE
950,127826.0,2017-01-26T12:59:00,Abandoned Vehicle (parked on street),Call Center,1,Police - AVU,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.97578853773241,40.420800477517794,APPROXIMATE
951,133932.0,2017-02-24T11:07:00,Tree Removal,Call Center,1,DPW - Forestry Division,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,2-6,-79.96812299999999,40.457838,EXACT
952,127393.0,2017-01-25T08:09:00,Potholes,Website,1,DPW - Street Maintenance,Central Business District,6.0,1.0,42003020100.0,6.0,1.0,2.0,1-4,-80.0014697760344,40.4386935525863,EXACT
953,112264.0,2016-10-21T19:25:00,Brick/Block or Concrete Slab Repair,Website,1,DPW - Construction Division,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.9994802474976,40.4421174546327,EXACT
954,132058.0,2017-02-15T10:29:00,Replace/Repair a Sign,Control Panel,1,DOMI - TrafficShop,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.982293,40.466752,EXACT
955,131896.0,2017-02-14T12:59:00,Landslide,Call Center,1,DOMI - Structures,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-5,-79.9914515,40.42644779999999,EXACT
956,124776.0,2017-01-10T11:51:00,Board Up (PLI referral to DPW),Control Panel,1,DPW - Construction Division,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0043862362479,40.4614495315049,APPROXIMATE
957,131512.0,2017-02-13T08:26:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0183637,40.489523600000005,EXACT
958,126346.0,2017-01-19T13:23:00,Patrol,Control Panel,1,Police - Zones 1-6,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0127488410658,40.4861167298079,APPROXIMATE
959,131694.0,2017-02-13T14:44:00,Potholes,Website,1,DPW - Street Maintenance,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.9958391,40.4407436,EXACT
960,130670.0,2017-02-08T08:06:00,Potholes,Call Center,1,DPW - Street Maintenance,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.9792457,40.4556001,EXACT
961,88499.0,2016-07-15T16:26:00,Patrol,Call Center,1,Police - Zones 1-6,Stanton Heights,7.0,10.0,42003101800.0,2.0,10.0,5.0,3-7,-79.9390874329688,40.4856587128581,APPROXIMATE
962,130218.0,2017-02-06T12:21:00,Snow/Ice removal,Call Center,1,DPW - Street Maintenance,Polish Hill,7.0,6.0,42003060500.0,6.0,6.0,2.0,2-6,-79.96954000000001,40.456888899999996,EXACT
963,130882.0,2017-02-08T15:35:00,Utility Pole,Control Panel,1,DOMI - Permits,North Shore,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-5,-79.9933288,40.4537183,EXACT
964,131293.0,2017-02-10T14:10:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.014794,40.3876485,EXACT
965,102973.0,2016-09-08T17:15:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Spring Garden,1.0,26.0,42003428200.0,1.0,26.0,1.0,1-11,-79.9931206375733,40.477090076274,EXACT
966,128238.0,2017-01-30T09:25:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Central Lawrenceville,7.0,9.0,42003981000.0,2.0,9.0,2.0,3-5,-79.95762304232791,40.4758399,EXACT
967,131646.0,2017-02-13T12:20:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0354747846558,40.471796838300705,EXACT
